City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
86,tidore,3.0707,172.7902,299.71,75,100,6.09,KI,1668369623
87,tidore,-21.2078,-159.775,297.18,57,20,4.63,CK,1668369624
88,tidore,42.6,-84.3833,276.39,59,100,5.46,US,1668369624
89,tidore,-35.7167,150.1833,291.54,80,4,3.07,AU,1668369625
90,tidore,-0.7393,-90.3518,294.96,73,24,5.29,EC,1668369625
91,tidore,54.5567,40.8703,276.83,75,100,8.6,RU,1668369626
92,tidore,48.2437,18.3085,280.76,83,0,2.17,SK,1668369626
93,tidore,46.5927,-112.0361,273.84,72,75,0.89,US,1668369367
94,tidore,-24.7911,-50.0119,295.01,77,62,5.36,BR,1668369627
95,tidore,19.4333,-99.85,293.95,39,14,1.75,MX,1668369627
96,tidore,31.2581,117.2817,284.77,57,100,3.96,CN,1668369628
97,tidore,25.5198,90.2201,289.53,88,0,1.91,IN,1668369628
98,tidore,-34.4187,19.2345,286.37,84,0,1.47,ZA,1668369629
99,tidore,50.6789,156.125,273.09,87,100,9.58,RU,1668369629
100,tidore,58.9564,126.2925,266.75,90,100,3.56,RU,1668369629
101,tidore,54.7682,-101.865,265.56,70,8,3.76,CA,1668369630
102,tidore,-33.0117,17.9442,289.32,85,0,5.93,ZA,1668369630
103,tidore,-41.4122,175.5153,286.3,73,63,2.1,NZ,1668369631
104,tidore,-9.0656,-68.6569,307.51,40,76,1.66,BR,1668369631
105,tidore,55.3556,65.8467,274.28,99,100,6.35,RU,1668369631
106,tidore,4.25,-54.3833,301.46,73,94,1.12,GF,1668369632
107,tidore,-24.8667,113.6333,292.67,69,0,7.61,AU,1668369632
108,tidore,-26.7852,-60.4388,300.86,53,56,1.83,AR,1668369632
109,tidore,-25.2406,130.9889,289.1,55,0,6.87,AU,1668369632
110,tidore,57.79,-152.4072,275.88,87,100,7.72,US,1668369633
111,tidore,-8.4667,118.7167,298.54,91,95,1.15,ID,1668369633
112,tidore,47.6666,-52.7314,275.69,90,75,3.09,CA,1668369634
113,tidore,19.8,85.85,292.44,60,0,2.82,IN,1668369634
114,tidore,52.9273,78.58,273.07,84,92,7.72,RU,1668369635
115,tidore,22.0752,-159.319,299.32,77,17,3.13,US,1668369351
116,tidore,60.3964,-1.353,285.03,90,77,8.76,GB,1668369635
117,tidore,-31.95,141.4333,286.72,66,73,10.77,AU,1668369636
118,tidore,-20.3428,57.7575,294.94,71,0,1.83,MU,1668369636
119,tidore,-2.0226,147.2712,299.96,82,100,3.96,PG,1668369636
120,tidore,-21.3585,55.7679,294.92,88,96,6.03,RE,1668369637
121,tidore,45.0205,-93.218,271.85,58,98,0.89,US,1668369637
122,tidore,-22.45,18.9667,294.87,19,0,6.08,NA,1668369637
123,tidore,72.7868,-56.1549,267.94,68,100,1.89,GL,1668369638
